match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
1,Sunrisers Hyderabad,TM Head,1,0,0,0,1
1,Sunrisers Hyderabad,Abhishek Sharma,2,0,0,0,2
1,Sunrisers Hyderabad,Ishan Kishan,3,1,1,0,3
1,Sunrisers Hyderabad,Nithish Kumar Reddy,4,0,0,0,4
1,Sunrisers Hyderabad,H Klaasen,5,0,1,0,5
1,Sunrisers Hyderabad,S Arora,6,0,0,0,6
1,Sunrisers Hyderabad,Aniket Verma,7,0,0,0,7
1,Sunrisers Hyderabad,Harsh Dubey,8,0,0,0,8
1,Sunrisers Hyderabad,HV Patel,9,0,0,0,9
1,Sunrisers Hyderabad,DA Payne,10,0,0,0,10
1,Sunrisers Hyderabad,JD Unadkat,11,0,0,0,11
1,Sunrisers Hyderabad,E Malinga,,0,0,1,12
1,Royal Challengers Bengaluru,JA Duffy,,0,0,0,1
1,Royal Challengers Bengaluru,PD Salt,1,0,0,0,2
1,Royal Challengers Bengaluru,V Kohli,2,0,0,0,3
1,Royal Challengers Bengaluru,D Padikkal,3,0,0,0,4
1,Royal Challengers Bengaluru,RM Patidar,4,1,0,0,5
1,Royal Challengers Bengaluru,JM Sharma,5,0,1,0,6
1,Royal Challengers Bengaluru,TH David,6,0,0,0,7
1,Royal Challengers Bengaluru,R Shepherd,,0,0,0,8
1,Royal Challengers Bengaluru,KH Pandya,,0,0,0,9
1,Royal Challengers Bengaluru,B Kumar,,0,0,0,10
1,Royal Challengers Bengaluru,Abhinandan Singh,,0,0,0,11
1,Royal Challengers Bengaluru,Suyash Sharma,,0,0,1,12
2,Kolkata Knight Riders,Kartik Tyagi,,0,0,0,1
2,Kolkata Knight Riders,AM Rahane,1,1,0,0,2
2,Kolkata Knight Riders,FH Allen,2,0,0,0,3
2,Kolkata Knight Riders,C Green,3,0,0,0,4
2,Kolkata Knight Riders,A Raghuvanshi,4,0,0,0,5
2,Kolkata Knight Riders,RK Singh,5,0,0,0,6
2,Kolkata Knight Riders,Ramandeep Singh,6,0,0,0,7
2,Kolkata Knight Riders,AS Roy,,0,0,0,8
2,Kolkata Knight Riders,SP Narine,,0,0,0,9
2,Kolkata Knight Riders,CV Varun,,0,0,0,10
2,Kolkata Knight Riders,VG Arora,,0,0,0,11
2,Kolkata Knight Riders,B Muzarabani,,0,0,1,12
2,Mumbai Indians,JJ Bumrah,,0,0,0,1
2,Mumbai Indians,RD Rickelton,1,0,0,0,2
2,Mumbai Indians,RG Sharma,2,0,0,0,3
2,Mumbai Indians,SA Yadav,3,0,0,0,4
2,Mumbai Indians,Tilak Varma,4,0,0,0,5
2,Mumbai Indians,HH Pandya,5,1,0,0,6
2,Mumbai Indians,Naman Dhir,6,0,0,0,7
2,Mumbai Indians,SE Rutherford,,0,0,0,8
2,Mumbai Indians,SN Thakur,,0,0,0,9
2,Mumbai Indians,M Markande,,0,0,0,10
2,Mumbai Indians,AM Ghazanfar,,0,0,0,11
2,Mumbai Indians,TA Boult,,0,0,1,12
3,Chennai Super Kings,SV Samson,1,0,1,0,1
3,Chennai Super Kings,RD Gaikwad,2,1,0,0,2
3,Chennai Super Kings,A Mhatre,3,0,0,0,3
3,Chennai Super Kings,MW Short,4,0,0,0,4
3,Chennai Super Kings,SN Khan,5,0,0,0,5
3,Chennai Super Kings,Kartik Sharma,6,0,0,0,6
3,Chennai Super Kings,S Dube,7,0,0,0,7
3,Chennai Super Kings,J Overton,8,0,0,0,8
3,Chennai Super Kings,Noor Ahmad,9,0,0,0,9
3,Chennai Super Kings,MJ Henry,10,0,0,0,10
3,Chennai Super Kings,A Kamboj,11,0,0,0,11
3,Chennai Super Kings,KK Ahmed,,0,0,1,12
3,Rajasthan Royals,YBK Jaiswal,1,0,0,0,1
3,Rajasthan Royals,V Suryavanshi,2,0,0,0,2
3,Rajasthan Royals,Dhruv Jurel,3,0,1,0,3
3,Rajasthan Royals,R Parag,4,1,0,0,4
3,Rajasthan Royals,SO Hetmyer,,0,0,0,5
3,Rajasthan Royals,RA Jadeja,,0,0,0,6
3,Rajasthan Royals,JC Archer,,0,0,0,7
3,Rajasthan Royals,N Burger,,0,0,0,8
3,Rajasthan Royals,Sandeep Sharma,,0,0,0,9
3,Rajasthan Royals,Ravi Bishnoi,,0,0,0,10
3,Rajasthan Royals,Brijesh Sharma,,0,0,0,11
3,Rajasthan Royals,Rajasthan Royals Substitute 12,,0,0,1,12
4,Gujarat Titans,M Prasidh Krishna,,0,0,0,1
4,Gujarat Titans,B Sai Sudharsan,1,0,0,0,2
4,Gujarat Titans,Shubman Gill,2,1,0,0,3
4,Gujarat Titans,JC Buttler,3,0,1,0,4
4,Gujarat Titans,GD Phillips,4,0,0,0,5
4,Gujarat Titans,Washington Sundar,5,0,0,0,6
4,Gujarat Titans,M Shahrukh Khan,6,0,0,0,7
4,Gujarat Titans,R Tewatia,7,0,0,0,8
4,Gujarat Titans,Rashid Khan,8,0,0,0,9
4,Gujarat Titans,K Rabada,,0,0,0,10
4,Gujarat Titans,Ashok Sharma,,0,0,0,11
4,Gujarat Titans,Mohammed Siraj,,0,0,1,12
4,Punjab Kings,YS Chahal,,0,0,0,1
4,Punjab Kings,Priyansh Arya,1,0,0,0,2
4,Punjab Kings,P Simran Singh,2,0,1,0,3
4,Punjab Kings,C Connolly,3,0,0,0,4
4,Punjab Kings,SS Iyer,4,1,0,0,5
4,Punjab Kings,N Wadhera,5,0,0,0,6
4,Punjab Kings,Shashank Singh,6,0,0,0,7
4,Punjab Kings,MP Stoinis,7,0,0,0,8
4,Punjab Kings,M Jansen,8,0,0,0,9
4,Punjab Kings,XC Bartlett,9,0,0,0,10
4,Punjab Kings,Vijaykumar Vyshak,,0,0,0,11
4,Punjab Kings,Arshdeep Singh,,0,0,1,12
5,Lucknow Super Giants,MR Marsh,1,0,0,0,1
5,Lucknow Super Giants,RR Pant,2,0,0,0,2
5,Lucknow Super Giants,AK Markram,3,0,0,0,3
5,Lucknow Super Giants,A Badoni,4,0,0,0,4
5,Lucknow Super Giants,N Pooran,5,0,0,0,5
5,Lucknow Super Giants,Abdul Samad,6,0,0,0,6
5,Lucknow Super Giants,MD Choudhary,7,0,0,0,7
5,Lucknow Super Giants,Shahbaz Ahmed,8,0,0,0,8
5,Lucknow Super Giants,Mohammed Shami,9,0,0,0,9
5,Lucknow Super Giants,A Nortje,10,0,0,0,10
5,Lucknow Super Giants,Mohsin Khan,11,0,0,0,11
5,Lucknow Super Giants,Prince Yadav,,0,0,1,12
5,Delhi Capitals,T Natarajan,,0,0,0,1
5,Delhi Capitals,KL Rahul,1,1,1,0,2
5,Delhi Capitals,P Nissanka,2,0,0,0,3
5,Delhi Capitals,N Rana,3,0,0,0,4
5,Delhi Capitals,Sameer Rizvi,4,0,0,0,5
5,Delhi Capitals,AR Patel,5,1,0,0,6
5,Delhi Capitals,T Stubbs,6,0,0,0,7
5,Delhi Capitals,V Nigam,,0,0,0,8
5,Delhi Capitals,DA Miller,,0,0,0,9
5,Delhi Capitals,L Ngidi,,0,0,0,10
5,Delhi Capitals,Kuldeep Yadav,,0,0,0,11
5,Delhi Capitals,Mukesh Kumar,,0,0,1,12
6,Sunrisers Hyderabad,TM Head,1,0,0,0,1
6,Sunrisers Hyderabad,Abhishek Sharma,2,0,0,0,2
6,Sunrisers Hyderabad,Ishan Kishan,3,1,1,0,3
6,Sunrisers Hyderabad,H Klaasen,4,0,1,0,4
6,Sunrisers Hyderabad,Aniket Verma,5,0,0,0,5
6,Sunrisers Hyderabad,Nithish Kumar Reddy,6,0,0,0,6
6,Sunrisers Hyderabad,S Arora,7,0,0,0,7
6,Sunrisers Hyderabad,Harsh Dubey,8,0,0,0,8
6,Sunrisers Hyderabad,Shivang Kumar,9,0,0,0,9
6,Sunrisers Hyderabad,JD Unadkat,,0,0,0,10
6,Sunrisers Hyderabad,DA Payne,,0,0,0,11
6,Sunrisers Hyderabad,E Malinga,,0,0,1,12
6,Kolkata Knight Riders,FH Allen,2,0,0,0,1
6,Kolkata Knight Riders,AM Rahane,1,1,0,0,2
6,Kolkata Knight Riders,A Raghuvanshi,3,0,0,0,3
6,Kolkata Knight Riders,C Green,4,0,0,0,4
6,Kolkata Knight Riders,RK Singh,5,0,0,0,5
6,Kolkata Knight Riders,AS Roy,6,0,0,0,6
6,Kolkata Knight Riders,Ramandeep Singh,7,0,0,0,7
6,Kolkata Knight Riders,SP Narine,8,0,0,0,8
6,Kolkata Knight Riders,Kartik Tyagi,9,0,0,0,9
6,Kolkata Knight Riders,VG Arora,10,0,0,0,10
6,Kolkata Knight Riders,CV Varun,11,0,0,0,11
6,Kolkata Knight Riders,B Muzarabani,,0,0,1,12
7,Chennai Super Kings,RD Chahar,,0,0,0,1
7,Chennai Super Kings,SV Samson,1,0,1,0,2
7,Chennai Super Kings,RD Gaikwad,2,1,0,0,3
7,Chennai Super Kings,A Mhatre,3,0,0,0,4
7,Chennai Super Kings,S Dube,4,0,0,0,5
7,Chennai Super Kings,Kartik Sharma,5,0,0,0,6
7,Chennai Super Kings,SN Khan,6,0,0,0,7
7,Chennai Super Kings,PR Veer,7,0,0,0,8
7,Chennai Super Kings,Noor Ahmad,,0,0,0,9
7,Chennai Super Kings,A Kamboj,,0,0,0,10
7,Chennai Super Kings,MJ Henry,,0,0,0,11
7,Chennai Super Kings,KK Ahmed,,0,0,1,12
7,Punjab Kings,YS Chahal,,0,0,0,1
7,Punjab Kings,Priyansh Arya,1,0,0,0,2
7,Punjab Kings,P Simran Singh,2,0,1,0,3
7,Punjab Kings,C Connolly,3,0,0,0,4
7,Punjab Kings,SS Iyer,4,1,0,0,5
